% EPOCH OF MEASUREMENT
DATE LAT LON ELLHGT SDLAT SDLON SDHGT EAST NORTH UP
2015-01-14 13.735991200 100.533934814 74.296 0.0019 0.0031 0.0060	0.000000 0.000000 0.000000
2015-01-15 13.735991186 100.533934803 74.292 0.0019 0.0033 0.0060	-0.001190 -0.001549 -0.004000
2015-01-16 13.735991217 100.533934789 74.298 0.0018 0.0029 0.0060	-0.002704 0.001881 0.002000
2015-01-17 13.735991217 100.533934794 74.304 0.0019 0.0034 0.0061	-0.002163 0.001881 0.008000
2015-01-18 13.735991228 100.533934800 74.308 0.0019 0.0034 0.0061	-0.001514 0.003098 0.012000
2015-01-19 13.735991222 100.533934775 74.304 0.0019 0.0036 0.0063	-0.004218 0.002434 0.008000
2015-01-20 13.735991222 100.533934769 74.304 0.0020 0.0030 0.0063	-0.004867 0.002434 0.008000
2015-01-21 13.735991211 100.533934800 74.312 0.0023 0.0046 0.0070	-0.001514 0.001217 0.016000
2015-01-22 13.735991203 100.533934781 74.312 0.0019 0.0044 0.0061	-0.003569 0.000332 0.016000
2015-01-23 13.735991208 100.533934808 74.302 0.0018 0.0029 0.0061	-0.000649 0.000885 0.006000
2015-01-24 13.735991219 100.533934767 74.303 0.0019 0.0029 0.0062	-0.005083 0.002102 0.007000
2015-01-25 13.735991206 100.533934792 74.297 0.0019 0.0034 0.0063	-0.002379 0.000664 0.001000
2015-01-26 13.735991214 100.533934806 74.309 0.0019 0.0029 0.0062	-0.000865 0.001549 0.013000
2015-01-27 13.735991203 100.533934800 74.310 0.0019 0.0034 0.0062	-0.001514 0.000332 0.014000
2015-01-28 13.735991183 100.533934803 74.305 0.0019 0.0034 0.0061	-0.001190 -0.001881 0.009000
2015-01-29 13.735991181 100.533934797 74.309 0.0020 0.0029 0.0062	-0.001839 -0.002102 0.013000
2015-01-30 13.735991133 100.533934747 74.306 0.0020 0.0030 0.0062	-0.007247 -0.007413 0.010000
2015-01-31 13.735991189 100.533934797 74.300 0.0019 0.0030 0.0062	-0.001839 -0.001217 0.004000
2015-02-01 13.735991197 100.533934817 74.301 0.0019 0.0029 0.0062	0.000324 -0.000332 0.005000
2015-02-02 13.735991208 100.533934786 74.302 0.0019 0.0029 0.0063	-0.003028 0.000885 0.006000
2015-02-03 13.735991208 100.533934811 74.309 0.0019 0.0029 0.0062	-0.000324 0.000885 0.013000
2015-02-04 13.735991206 100.533934803 74.304 0.0019 0.0029 0.0063	-0.001190 0.000664 0.008000
2015-02-05 13.735991194 100.533934800 74.306 0.0019 0.0029 0.0063	-0.001514 -0.000664 0.010000
2015-02-06 13.735991192 100.533934789 74.307 0.0019 0.0029 0.0063	-0.002704 -0.000885 0.011000
2015-02-07 13.735991200 100.533934800 74.309 0.0020 0.0030 0.0065	-0.001514 0.000000 0.013000
2015-02-08 13.735991189 100.533934794 74.302 0.0019 0.0029 0.0065	-0.002163 -0.001217 0.006000
2015-02-09 13.735991175 100.533934783 74.300 0.0021 0.0036 0.0067	-0.003353 -0.002766 0.004000
2015-02-10 13.735991169 100.533934797 74.300 0.0019 0.0028 0.0062	-0.001839 -0.003430 0.004000
2015-02-11 13.735991169 100.533934786 74.310 0.0020 0.0031 0.0063	-0.003028 -0.003430 0.014000
2015-02-12 13.735991181 100.533934783 74.303 0.0019 0.0029 0.0064	-0.003353 -0.002102 0.007000
2015-02-13 13.735991181 100.533934753 74.305 0.0020 0.0036 0.0065	-0.006598 -0.002102 0.009000
2015-02-14 13.735991200 100.533934711 74.308 0.0020 0.0030 0.0067	-0.011140 0.000000 0.012000
2015-02-15 13.735991175 100.533934692 74.310 0.0020 0.0034 0.0066	-0.013195 -0.002766 0.014000
2015-02-16 13.735991172 100.533934772 74.307 0.0020 0.0031 0.0067	-0.004543 -0.003098 0.011000
2015-02-17 13.735991178 100.533934756 74.305 0.0020 0.0031 0.0064	-0.006273 -0.002434 0.009000
2015-02-18 13.735991186 100.533934733 74.299 0.0019 0.0029 0.0062	-0.008761 -0.001549 0.003000
2015-02-19 13.735991197 100.533934778 74.292 0.0020 0.0039 0.0066	-0.003894 -0.000332 -0.004000
2015-02-20 13.735991200 100.533934786 74.301 0.0021 0.0046 0.0065	-0.003028 0.000000 0.005000
2015-02-21 13.735991178 100.533934747 74.300 0.0020 0.0042 0.0066	-0.007247 -0.002434 0.004000
